№,Nick,Faction,Tb,VP,GP,DIFF,Tb,VP,GP,DIFF,Tb,VP,GP,DIFF,Tb,VP,GP,DIFF,Tb,VP,GP,DIFF,Tb,VP,GP,DIFF,Gr,VP,GP,DIFF,SoS
1,"Сергей Сапожков
",Mollog's Mob,4,1,24,14,3,1,36,3,3,1,28,9,1,1,42,11,1,1,35,-1,17,1,24,21,1,6,189,57,18
2,"Алексей Смышляев",Mollog's Mob,14,1,33,21,1,1,35,12,1,1,41,11,1,0,31,-11,2,1,51,10,16,1,40,8,1,5,231,51,18
3,"Петр Федин",Thorns of the Briar Queen ,16,1,27,9,6,1,52,6,3,0,19,-9,4,1,33,10,5,1,32,6,14,1,36,1,1,5,199,23,18
4,"Владимир Владимирович",Thundrik's Profiteers,1,1,38,10,5,1,25,8,2,1,41,3,2,1,34,10,1,0,36,1,16,0,32,-8,1,4,206,24,25
5,"Brin
",Thorns of the Briar Queen ,8,1,39,20,2,1,37,11,2,0,38,-3,3,1,37,28,2,0,41,-10,15,1,57,15,1,4,249,61,22
6,Voron,Zarbag's Gitz,15,1,40,4,8,1,34,4,5,1,32,12,2,0,24,-10,5,0,26,-6,9,1,52,19,1,4,208,23,20
7,Александр Иващенко,Garrek’s Reavers,9,1,52,11,1,0,23,-12,10,1,45,14,5,0,32,-4,6,1,43,17,13,1,41,-5,1,4,236,21,18
8,Bez,Magore's Fiends,17,1,7,7,7,1,24,6,4,1,25,5,3,0,9,-28,6,0,26,-17,8,1,31,8,1,4,122,-19,17
9,Ylia,Grashrak’s Despoilers,6,1,32,8,6,0,46,-6,8,1,50,8,8,1,39,10,4,1,58,10,15,0,42,-15,1,4,267,15,16
10,Tema,The Farstriders,13,1,26,4,9,1,23,7,4,0,20,-5,7,1,42,27,3,1,35,0,17,0,3,-21,1,4,149,12,13
11,Varren,The Grymwatch,10,0,21,-12,17,1,7,7,11,1,36,18,8,0,29,-10,8,1,33,10,12,1,36,12,1,4,162,25,10
12,Soel,Thundrik's Profiteers,2,1,34,19,3,0,33,-3,6,1,37,-6,6,1,34,13,4,0,48,-10,13,0,46,5,1,3,232,18,21
13,Vanya,The Grymwatch,7,1,35,18,4,0,27,-16,9,1,41,25,5,1,36,4,3,0,35,0,14,0,35,-1,1,3,209,30,18
14,"Павел Аленчев",Garrek’s Reavers,12,1,53,16,2,0,26,-11,7,1,40,4,6,0,21,-13,7,1,32,17,12,0,24,-12,1,3,196,1,15
15,Beliy Mag,Zarbag's Gitz,10,1,33,12,4,1,43,16,1,0,30,-11,4,0,23,-10,7,0,15,-17,8,0,23,-8,1,2,167,-18,24
16,Monstr,Thorns of the Briar Queen ,14,0,12,-21,14,1,19,2,13,1,26,-7,7,0,15,-27,8,0,23,-10,9,0,33,-19,1,2,128,-82,19
1,"Григорий Фисаков",Thundrik's Profiteers,15,0,36,-4,10,0,13,-11,14,1,53,11,13,1,29,4,11,1,35,11,7,1,43,-4,0,4,209,7,14
2,LastbutOne,Spiteclaw's Swarm,3,0,21,-5,11,1,33,7,10,0,31,-14,15,1,7,7,12,1,41,12,6,1,38,1,0,4,171,8,11
3,"Дмитрий Точенов",Skaeth’s Wild Hunt,11,1,45,7,7,0,18,-6,8,0,42,-8,12,1,48,26,10,0,24,-3,4,1,33,26,0,3,210,42,17
4,"Павел Кузнецов",Zarbag's Gitz,12,0,39,-16,15,0,21,-8,16,1,51,20,14,1,28,4,11,0,24,-11,3,1,44,1,0,3,207,-10,15
5,Ilenkov,Thundrik's Profiteers,5,1,30,11,5,0,17,-8,7,0,36,-4,9,1,44,24,9,1,38,9,7,0,47,4,0,3,212,36,14
6,"Денис Кубиков",Mollog's Mob,5,0,19,-11,13,1,37,32,5,0,20,-12,11,1,19,11,10,1,27,3,6,0,37,-1,0,3,159,22,14
7,Dmitriy,Sepulchral Guard,11,0,38,-7,11,0,26,-7,14,0,42,-11,17,1,40,7,13,1,26,7,5,1,29,5,0,3,201,-6,14
8,"Berezko
",Eyes of the Nine,1,0,28,-10,13,0,5,-32,17,1,7,7,14,0,24,-4,16,1,29,0,2,1,41,16,0,3,134,-23,13
9,"Анатолий Коновалов",Stormsire’s Cursebreakers,13,0,22,-4,10,1,24,11,6,0,43,6,10,1,30,15,9,0,29,-9,5,0,24,-5,0,2,172,14,19
10,"Александр Алексеев",Stormsire’s Cursebreakers,16,0,18,-9,12,1,20,0,11,0,18,-18,13,0,25,-4,14,1,24,13,4,0,7,-26,0,2,112,-44,19
11,Krioll,Skaeth’s Wild Hunt,3,1,26,5,8,0,30,-4,9,0,16,-25,10,0,15,-15,15,1,31,13,3,0,43,-1,0,2,161,-27,17
12,Weavel,Zarbag's Gitz,8,0,19,-20,16,1,25,8,12,1,27,1,9,0,20,-24,12,0,29,-12,2,0,25,-16,0,2,145,-63,17
13,Николай Шараев,Ironskull’s Boyz,2,0,14,-19,16,0,17,-8,16,0,31,-20,17,0,33,-7,17,1,17,8,1,1,29,13,0,2,141,-33,12
14,"Ася Шестова",Garrek’s Reavers,9,0,41,-11,9,0,16,-7,15,0,15,-12,16,1,28,-6,14,0,11,-13,10,1,21,1,0,2,132,-48,12
15,"CrazyMX
",Ylthari's Guardians,4,0,10,-14,14,0,17,-2,15,1,27,12,11,0,8,-11,13,0,19,-7,1,0,16,-13,0,1,97,-35,18
16,KhornoPes,Magore's Fiends,6,0,24,-8,12,0,20,0,13,0,33,7,16,0,34,6,16,0,29,0,11,1,29,28,0,1,169,33,13
17,Roman Hobbit,Ironskull’s Boyz,7,0,17,-18,15,1,29,8,12,0,26,-1,12,0,22,-26,15,0,18,-13,10,0,20,-1,0,1,132,-51,13
18,Proxy,Skaeth’s Wild Hunt,17,0,0,-7,17,0,0,-7,17,0,0,-7,15,0,0,-7,17,0,9,-8,11,0,1,-28,0,0,10,-64,17