#,Имя игрока,Faction,T,VP,L,DiffGP,T,VP,L,DiffGP,T,VP,L,DiffGP,VP,L,SoS,DiffGP
1,Владимир Владимирович,парогномы,1,3,0,10,3,3,0,15,1,3,0,9,9,0,4,34
2,Максим Оргиец,волки,2,3,1,14,1,3,1,4,1,0,2,0,6,4,7,18
3,Дмитрий Точенов,курноты,1,0,2,0,5,3,2,2,4,3,0,27,6,4,4,29
4,Иван Дмитриев,парогномы,3,3,0,11,2,3,1,2,2,0,2,0,6,3,4,13
5,Артем Баранов,призраки,3,0,2,0,5,0,2,0,5,3,0,8,3,4,4,8
6,Владимир Басов,козлы,4,0,2,0,4,0,2,0,5,0,2,0,0,6,4,0
7,Евгений Сафронов,волки,4,3,0,12,2,0,1,0,3,0,2,0,3,3,4,12
8,Николай Шараев,орки,5,0,2,0,3,0,2,0,4,0,2,0,0,6,7,0
9,Денис Кубиков,гули,5,3,0,26,1,0,2,0,3,3,0,5,6,2,3,31
10,Святослав Соколов,парогномы,2,0,2,0,4,3,0,34,2,3,0,5,6,2,4,39