,Nick,Faction,T,VP,GP,Diff,T,VP,GP,Diff,T,VP,GP,Diff,T,VP,GP,Diff,VP,GP,Diff,S0S
1,Verger,The Farstriders,2,1,36,21,2,1,34,19,1,1,26,3,1,1,40,10,4,136,53,10
2,Seriy,Stormsire’s Cursebreakers,3,1,24,22,2,0,15,-19,4,1,46,34,3,1,45,19,3,130,56,10
3,Maks,Lady Harrow's Mournflight,6,1,34,33,1,1,40,7,1,0,23,-3,2,1,35,9,3,132,46,9
4,Boris,The Grymwatch,5,1,33,24,1,0,33,-7,2,1,40,13,1,0,30,-10,2,136,20,9
5,Danil,The Grymwatch,1,1,41,12,3,1,58,1,2,0,27,-13,3,0,26,-19,2,152,-19,9
6,Ptolib,Zarbag's Gitz,4,1,42,10,3,0,57,-1,3,1,47,5,2,0,26,-9,2,172,5,8
7,Sasha,Rippa's Snarlfangs,3,0,2,-22,6,1,40,37,3,0,42,-5,4,1,27,12,2,111,22,7
8,Batman,Grashrak’s Despoilers,2,0,15,-21,5,1,24,11,5,0,20,-12,6,1,28,22,2,87,0,6
9,Kozulskis,Sepulchral Guard,1,0,29,-12,4,1,60,5,4,0,12,-34,5,1,39,21,2,140,-20,6
10,Oleg,Godsworn Hunt,4,0,32,-10,4,0,55,-5,5,1,32,12,4,0,15,-12,1,134,-15,8
11,Kasatka,Grashrak’s Despoilers,6,0,1,-33,6,0,3,-37,6,1,26,15,6,0,6,-22,1,36,-77,7
12,Bogdan,Rippa's Snarlfangs,5,0,9,-24,5,0,13,-11,6,0,11,-15,5,0,18,-21,0,51,-71,7